City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
568,Dembi Dolo,ET,64.74,broken clouds,8.5333,34.8,Sayo Plaza
570,San Ramon De La Nueva Oran,AR,77.0,scattered clouds,-23.1322,-64.32600000000001,Hotel Residencial Centro
577,Arinos,BR,76.66,broken clouds,-15.9169,-46.1056,casa do bruno
579,Xinyang,CN,52.65,clear sky,32.1228,114.0656,Jinjiang Inn Style Xinyang Dongfanghong Avenue Culture Center
582,Mayo,US,64.0,scattered clouds,38.8876,-76.5119,Resorts Resource Group International
584,Santa Maria,BR,77.0,few clouds,-29.6842,-53.8069,Hotel Morotin
586,Puri,IN,77.0,haze,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
587,Manokwari,ID,78.53,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
588,Owando,CG,73.35,overcast clouds,-0.4819,15.8999,Exaunel Hotel Owando
589,Yacuiba,BO,70.7,scattered clouds,-22.038,-63.6797,Hotel Monumental
591,Kawalu,ID,70.29,overcast clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
592,Mpongwe,ZM,63.9,broken clouds,-13.5091,28.155,GCMF Office & Lodge
